"","season","player_id","player","player_first_name","player_last_name","position","snaps","first_season_in_league","year_in_league","season_count","franchise_id","team","waa"
"353",2021,146100,"Zarak Scruggs Jr.","Zarak","Scruggs Jr.","WR",278,2021,1,0,241,"New Mexico Lobos",-0.029
"354",2021,84316,"Dominic Gicinto","Dominic","Gicinto","WR",93,2018,4,3,242,"New Mexico State Aggies",-0.009
"355",2021,138481,"Isaiah Garcia-Castaneda","Isaiah","Garcia-Castaneda","WR",433,2020,2,1,242,"New Mexico State Aggies",0.051
"356",2021,97398,"Khafre Brown","Khafre","Brown","WR",125,2019,3,2,245,"North Carolina Tar Heels",-0.046
"357",2021,99584,"Emery Simmons","Emery","Simmons","WR",324,2019,3,2,245,"North Carolina Tar Heels",-0.037
"358",2021,122834,"Stephen Gosnell","Stephen","Gosnell","WR",32,2020,2,1,245,"North Carolina Tar Heels",-0.008
"359",2021,129857,"Andrew Mason","Andrew","Mason","WR",88,2020,2,1,275,"Rice Owls",-0.022
"360",2021,99552,"Joshua Youngblood","Joshua","Youngblood","WR",73,2019,3,2,278,"Rutgers Scarlet Knights",0.005
"361",2021,61107,"Tyrell Shavers","Tyrell","Shavers","WR",478,2017,5,4,284,"San Diego State Aztecs",-0.077
"362",2021,84397,"Kobe Smith","Kobe","Smith","WR",140,2018,4,3,284,"San Diego State Aztecs",-0.04
"363",2021,91441,"Koby Duru","Koby","Duru","WR",9,2018,4,3,284,"San Diego State Aztecs",0.004
"364",2021,74501,"Isaiah Holiness","Isaiah","Holiness","WR",95,2019,3,2,285,"San Jose State Spartans",-0.034
"365",2021,97855,"Charles Ross","Charles","Ross","WR",425,2019,3,2,285,"San Jose State Spartans",-0.044
"366",2021,97164,"Ahmarean Brown","Ahmarean","Brown","WR",167,2019,3,2,289,"South Carolina Gamecocks",-0.078
"367",2021,99198,"Trey Adkins","Trey","Adkins","WR",29,2019,3,2,289,"South Carolina Gamecocks",-0.005
"368",2021,124250,"Rico Powers","Rico","Powers","WR",10,2020,2,1,289,"South Carolina Gamecocks",-0.002
"369",2021,121473,"Antoine Robinson","Antoine","Robinson","WR",181,2020,2,1,296,"Southern Miss Golden Eagles",-0.007
"370",2021,41966,"Devaughn Cooper","Devaughn","Cooper","WR",261,2016,6,5,304,"Syracuse Orange",-0.058
"371",2021,98212,"Garrett Shrader","Garrett","Shrader","QB",668,2019,3,2,304,"Syracuse Orange",-0.06
"372",2021,84010,"Geor'Quarius Spivey","Geor'Quarius","Spivey","TE",120,2018,4,3,305,"TCU Horned Frogs",-0.022
"373",2021,98748,"Mikel Barkley","Mikel","Barkley","WR",11,2019,3,2,305,"TCU Horned Frogs",0.001
"374",2021,61705,"Jadan Blue","Jadan","Blue","WR",394,2017,5,4,306,"Temple Owls",-0.094
"375",2021,84380,"Amad Anderson Jr.","Amad","Anderson Jr.","WR",345,2018,4,3,306,"Temple Owls",-0.067
"376",2021,99130,"D'Wan Mathis","D'Wan","Mathis","QB",366,2019,3,2,306,"Temple Owls",-0.194
"377",2021,97593,"JaVonta Payton","JaVonta","Payton","WR",714,2019,3,2,307,"Tennessee Volunteers",-0.097
"378",2021,99527,"Marcus Washington","Marcus","Washington","WR",434,2019,3,2,311,"Texas Longhorns",-0.05
"379",2021,99531,"Al'vonte Woodard","Al'vonte","Woodard","WR",38,2018,4,3,311,"Texas Longhorns",-0.008
"380",2021,123112,"Moochie Dixon","Moochie","Dixon","WR",147,2020,2,1,311,"Texas Longhorns",-0.016
"381",2021,40901,"Rontavius Groves","Rontavius","Groves","WR",172,2016,6,5,314,"Texas State Bobcats",-0.091
"382",2021,78155,"Julian Ortega-Jones","Julian","Ortega-Jones","WR",242,2018,4,3,314,"Texas State Bobcats",-0.03
"383",2021,102925,"Trevis Graham ","Trevis","Graham ","WR",251,2018,4,3,314,"Texas State Bobcats",0.111
"384",2021,78150,"Sterling Galban","Sterling","Galban","WR",1,2018,4,3,315,"Texas Tech Red Raiders",-0.003
"385",2021,145598,"Konata Mumpfield","Konata","Mumpfield","WR",700,2021,1,0,102,"Akron Zips",0.058
"386",2021,101701,"Jameson Williams","Jameson","Williams","WR",832,2019,3,2,103,"Alabama Crimson Tide",0.524
"387",2021,147305,"Laquan Veney","Laquan","Veney","HB",68,2021,1,0,114,"Army Black Knights",-0.002
"388",2021,60402,"Caylin Newton","Caylin","Newton","WR",36,2017,5,4,115,"Auburn Tigers",0.007
"389",2021,123978,"Elijah Canion","Elijah","Canion","WR",67,2020,2,1,115,"Auburn Tigers",0
"390",2021,123989,"Kobe Hudson","Kobe","Hudson","WR",386,2020,2,1,115,"Auburn Tigers",0.053
"391",2021,84427,"Remi Simmons","Remi","Simmons","WR",299,2018,4,3,134,"Central Michigan Chippewas",-0.044
"392",2021,122170,"Chris Houston","Chris","Houston","WR",1,2020,2,1,136,"Charlotte 49ers",-0.003
"393",2021,99571,"Frank Ladson Jr.","Frank","Ladson Jr.","WR",137,2019,3,2,140,"Clemson Tigers",-0.021
"394",2021,122137,"Ajou Ajou","Ajou","Ajou","WR",233,2020,2,1,140,"Clemson Tigers",-0.07
"395",2021,77997,"Jake Bobo","Jake","Bobo","WR",736,2018,4,3,154,"Duke Blue Devils",0.151
"396",2021,124036,"Justin Robinson","Justin","Robinson","WR",173,2020,2,1,173,"Georgia Bulldogs",-0.067
"397",2021,62988,"Adonicas Sanders","Adonicas","Sanders","WR",464,2017,5,4,176,"Georgia Tech Yellow Jackets",0.065
"398",2021,78017,"Marquez Ezzard","Marquez","Ezzard","WR",17,2018,4,3,176,"Georgia Tech Yellow Jackets",-0.003
"399",2021,61716,"Camron Buckley","Camron","Buckley","WR",115,2017,5,4,190,"Indiana Hoosiers",-0.024
"400",2021,84224,"Miles Marshall","Miles","Marshall","WR",598,2018,4,3,190,"Indiana Hoosiers",-0.058
"401",2021,84269,"Jahquan Bloomfield","Jahquan","Bloomfield","WR",5,2018,4,3,209,"Louisiana-Monroe Warhawks",-0.004
"402",2021,99245,"Devonta Lee","Devonta","Lee","WR",201,2019,3,2,211,"LSU Tigers",-0.038
"403",2021,146842,"Teddy Knox","Teddy","Knox","WR",5,2021,1,0,227,"Mississippi State Bulldogs",-0.003
"404",2021,144350,"Regis Velez","Regis","Velez","WR",5,2020,2,1,237,"Navy Midshipmen",-0.003
"405",2021,74298,"Justin Lockhart","Justin","Lockhart","WR",413,2019,3,2,239,"Nevada Wolf Pack",0.012
"406",2021,145355,"Rafael McCoy","Rafael","McCoy","WR",90,2021,1,0,263,"Old Dominion Monarchs",-0.008
"407",2021,47863,"Nate Craig-Myers","Nate","Craig-Myers","WR",358,2016,6,5,323,"UCF Knights",-0.094
"408",2021,144468,"Kaedin Robinson","Kaedin","Robinson","WR",89,2021,1,0,323,"UCF Knights",-0.009
"409",2021,42151,"Brandon Bowling","Brandon","Bowling","WR",599,2016,6,5,329,"Utah State Aggies",0.257
"410",2021,146591,"Agiye Hall","Agiye","Hall","WR",78,2021,1,0,103,"Alabama Crimson Tide",-0.002
"411",2021,84150,"Nikko Remigio","Nikko","Remigio","WR",436,2018,4,3,130,"California Golden Bears",0.023
"412",2021,97431,"Nolan Groulx","Nolan","Groulx","WR",5,2019,3,2,136,"Charlotte 49ers",-0.003
"413",2021,98847,"Bub Means","Bub","Means","WR",389,2019,3,2,208,"Louisiana Tech Bulldogs",0.006
"414",2021,40215,"Jared Sparks","Jared","Sparks","WR",470,2016,6,5,209,"Louisiana-Monroe Warhawks",-0.048
"415",2021,78136,"Stephon Robinson Jr.","Stephon","Robinson Jr.","WR",606,2018,4,3,256,"Northwestern Wildcats",0.112
"416",2021,145033,"Jordan Mosley","Jordan","Mosley","WR",36,2021,1,0,256,"Northwestern Wildcats",-0.016
"417",2021,47610,"JJ Conner","JJ","Conner","WR",6,2015,7,6,259,"Ohio Bobcats",-0.018
"418",2021,61793,"James Bostic","James","Bostic","WR",164,2017,5,4,259,"Ohio Bobcats",-0.068
"419",2021,78199,"Isiah Cox","Isiah","Cox","WR",396,2018,4,3,259,"Ohio Bobcats",-0.04
"420",2021,78200,"Jerome Buckner","Jerome","Buckner","WR",117,2018,4,3,259,"Ohio Bobcats",-0.003
"421",2021,88315,"Sam Wiglusz","Sam","Wiglusz","WR",29,2018,4,3,260,"Ohio State Buckeyes",-0.003
"422",2021,84117,"Michael Woods II","Michael","Woods II","WR",409,2018,4,3,261,"Oklahoma Sooners",0.048
"423",2021,97791,"Jadon Haselwood","Jadon","Haselwood","WR",588,2019,3,2,261,"Oklahoma Sooners",-0.014
"424",2021,144620,"Mario Williams","Mario","Williams","WR",317,2021,1,0,261,"Oklahoma Sooners",0.088
"425",2021,84359,"Cornell Hendrick Jr.","Cornell","Hendrick Jr.","WR",10,2018,3,2,263,"Old Dominion Monarchs",-0.003
"426",2021,84362,"Darius Savedge","Darius","Savedge","WR",95,2018,3,2,263,"Old Dominion Monarchs",0.019
"427",2021,145344,"Ali Jennings III","Ali","Jennings III","WR",768,2019,3,2,263,"Old Dominion Monarchs",-0.004
"428",2021,63709,"Spencer Curtis","Spencer","Curtis","WR",4,2017,4,3,264,"Oregon Ducks",0.005
"429",2021,97270,"Mycah Pittman","Mycah","Pittman","WR",406,2019,3,2,264,"Oregon Ducks",-0.023
"430",2021,52125,"Champ Flemings","Champ","Flemings","WR",288,2017,5,4,265,"Oregon State Beavers",-0.023
