"","season","player_id","offense","receiving"
"350",2020,77996,62.3,61.3
"351",2021,77996,67,68.7
"352",2022,77996,54.8,55.3
"353",2020,77997,68,68.1
"354",2021,77997,78.6,78.9
"355",2022,77997,82.1,82.9
"356",2020,77998,61.4,62.7
"357",2021,77998,57.4,55.6
"358",2022,77998,69.2,68.1
"359",2020,78014,58,57.3
"360",2022,78014,58.4,58.2
"361",2020,78016,56,54
"362",2021,78016,55.5,54.2
"363",2022,78016,61.9,61.8
"364",2020,78017,62.4,64.4
"365",2021,78017,55.1,55.1
"366",2022,78017,49.7,48.5
"367",2020,78030,60.3,60.8
"368",2021,78030,68.2,66.7
"369",2022,78030,67.4,68.3
"370",2022,78039,50.5,55.2
"371",2020,78041,60.6,58.5
"372",2021,78041,72.5,72.7
"373",2022,78041,72.4,71.8
"374",2020,78042,62.7,61.5
"375",2021,78042,82.8,83.3
"376",2022,78042,72.6,72.9
"377",2020,78051,58.5,55.9
"378",2022,78051,45,51.8
"379",2020,78061,58,57.1
"380",2021,78061,59.5,59.4
"381",2022,78061,56.9,56.4
"382",2021,78069,57.5,56.2
"383",2022,78069,60.5,57.5
"384",2020,78081,58.7,59.6
"385",2021,78081,52.1,51.5
"386",2020,78085,64.9,65.9
"387",2021,78085,72.1,72.9
"388",2022,78085,58.3,54.7
"389",2020,78108,49.3,49.3
"390",2021,78108,63.7,62.3
"391",2022,78108,68.3,67.5
"392",2020,78109,52,51.5
"393",2021,78109,67,67
"394",2022,78109,58.3,59.4
"395",2021,78110,56.5,59.3
"396",2022,78110,52.3,53
"397",2020,78120,56.4,55.5
"398",2021,78120,56.5,55.4
"399",2022,78120,67.9,68.4
"400",2020,78128,57.5,59.2
"401",2021,78128,63.2,63
"402",2022,78128,59.5,60
"403",2020,78136,78.7,77.5
"404",2021,78136,75.8,74.8
"405",2020,78139,57.7,55.6
"406",2021,78139,61.3,59.1
"407",2022,78145,62.3,63.3
"408",2020,78146,78.1,79.1
"409",2021,78146,67.2,67.3
"410",2022,78146,67.5,67.7
"411",2022,78150,70.8,71.1
"412",2020,78155,59.4,59.1
"413",2021,78155,60.2,59.8
"414",2022,78155,64.4,65.4
"415",2021,78156,67.8,75
"416",2020,78159,71.9,70.9
"417",2021,78159,59.3,58.6
"418",2022,78159,52.5,52.8
"419",2021,78175,61,60.8
"420",2022,78175,58.4,58.3
"421",2020,78198,59.4,63.3
"422",2021,78198,60.7,60.3
"423",2022,78198,72,72.1
"424",2020,78199,78.2,74.4
"425",2021,78199,67.6,67.3
"426",2022,78199,71.3,73.2
"427",2020,78200,63,62.6
"428",2021,78200,66.4,66.2
"429",2022,78200,59.6,58.3
"430",2020,78211,59.3,51.1
"431",2021,78211,72.1,73.4
"432",2022,78211,50.8,49.8
"433",2021,78521,61.6,61.9
"434",2022,78521,58.8,58.6
"435",2020,78545,76.8,60.7
"436",2021,78545,61.7,58.2
"437",2022,78545,50.9,52.7
"438",2020,78687,57.9,59.3
"439",2021,78687,54.7,54.4
"440",2022,78723,57.8,56.7
"441",2020,78741,55,53.7
"442",2021,78741,58.8,57.5
"443",2022,78741,44.3,45.1
"444",2020,78779,80,79
"445",2021,78779,71.9,73.5
"446",2022,78779,69,67
"447",2020,78784,54.9,54.8
"448",2021,78784,56.5,57.7
"449",2020,78795,54.3,57.4
"450",2021,78795,49.7,52.4
"451",2022,78795,59.2,59.7
"452",2020,78807,63.8,62.5
"453",2021,78807,59.6,55.2
"454",2020,78821,69.8,70.3
"455",2021,78821,59.2,58.4
"456",2022,78821,72.9,71.1
"457",2020,78884,68.8,69.7
"458",2021,78884,57.6,58.4
"459",2022,78884,80.8,74.9
"460",2020,78894,56.4,55.8
"461",2021,78894,62,61.8
"462",2022,78894,58.9,60
"463",2021,78915,52.3,51.9
"464",2020,78970,50.1,51.4
"465",2022,78970,53,51.9
"466",2020,78984,83.1,83.7
"467",2021,78984,69.5,71.2
"468",2022,78984,74.3,75.7
"469",2020,83710,65.8,81.7
"470",2020,83810,66.9,69.6
"471",2021,83810,56.1,58.2
"472",2022,83810,58.2,58.5
"473",2020,84010,50.1,49.8
"474",2021,84010,51.5,49
"475",2022,84010,61.6,60.6
"476",2020,84087,62.3,59.7
"477",2022,84087,52.7,52.5
"478",2020,84110,64.6,54.2
"479",2021,84110,60.1,59.6
"480",2020,84112,59.3,63.2
"481",2021,84112,65.4,64.9
"482",2022,84112,70.1,71.1
"483",2020,84117,68,68.6
"484",2021,84117,70.4,70.2
"485",2020,84125,63.7,62.4
"486",2021,84125,61,61
"487",2022,84125,66.7,66.5
"488",2020,84141,47.8,53.9
"489",2021,84141,56.4,55.3
"490",2022,84141,59,57.8
"491",2020,84150,56.4,58.7
"492",2021,84150,62.7,63.4
"493",2022,84150,77.4,78.5
"494",2021,84158,54.4,54.5
"495",2022,84158,67.5,68.4
"496",2020,84163,58,56.3
"497",2020,84176,56.4,58.8
"498",2021,84176,64.6,64.4
"499",2022,84176,71.5,71.3
"500",2021,84180,54.7,54.6
"501",2022,84180,76.9,74.3
"502",2020,84191,50.9,52.4
"503",2021,84191,57.4,54.9
"504",2022,84191,62.8,62.3
"505",2020,84196,71.4,70.2
"506",2021,84196,61.1,60.7
"507",2022,84196,77.4,78.1
"508",2020,84197,78.7,79.4
"509",2021,84197,65.8,65.6
"510",2022,84197,72.5,73.3
"511",2020,84215,55.4,55.2
"512",2021,84215,54.4,50.5
"513",2022,84215,54,54.3
"514",2020,84220,59.8,61.9
"515",2021,84220,52,53.7
"516",2022,84220,49,48.6
"517",2020,84224,59.5,60.2
"518",2021,84224,57.6,57.3
"519",2022,84224,60.4,59.1
"520",2020,84225,72.2,69.2
"521",2021,84225,54.1,54.7
"522",2022,84225,57.5,56.7
"523",2020,84226,63.8,64.5
"524",2021,84226,51.8,49.4
"525",2022,84226,63.5,57.8
"526",2020,84245,62,59.4
"527",2021,84245,48.4,49.3
"528",2020,84247,64.7,64.5
"529",2021,84247,61.7,61.4
"530",2022,84247,60,59.5
"531",2020,84248,52.5,51.2
"532",2021,84248,69.3,70
"533",2022,84248,77.7,76.6
"534",2020,84269,60,60.8
"535",2021,84269,59.4,59.3
"536",2022,84269,62.3,61.9
"537",2020,84278,68.7,67.9
"538",2021,84278,43.1,54
"539",2020,84285,59.4,57.5
"540",2021,84285,61.3,62.1
"541",2022,84285,72.5,73.5
"542",2020,84286,53.3,52.3
"543",2021,84286,62.1,60.7
"544",2022,84286,61,59
"545",2020,84300,53.7,52.9
"546",2021,84300,59.9,59.9
"547",2022,84300,51.1,55.4
"548",2020,84310,52.5,52.2
"549",2022,84310,54.3,53.8
"550",2020,84312,44.9,46
"551",2022,84312,77.1,80.5
"552",2020,84314,69.8,68.5
"553",2022,84314,56.4,55.2
"554",2020,84316,55.9,56
"555",2021,84316,60.2,60
"556",2022,84316,60.1,57
"557",2020,84317,69.7,68.6
"558",2021,84317,63.5,66.1
"559",2020,84332,55.3,54.5
"560",2021,84332,64.4,62.1
"561",2022,84332,54.9,55.4
"562",2020,84335,60.2,59.4
"563",2021,84335,58.2,61.7
"564",2022,84342,57,58
"565",2020,84346,62.4,62
"566",2021,84346,55,56
"567",2022,84346,77.5,74.2
"568",2021,84352,60.4,60.5
"569",2021,84358,58.1,57.7
"570",2022,84358,52.3,52.3
"571",2021,84359,59.1,59.4
"572",2022,84359,60.3,60.4
"573",2021,84362,57.6,58.4
"574",2022,84362,54.9,54.9
"575",2020,84378,53.9,54.2
"576",2021,84378,57.5,57.9
"577",2022,84378,67,67.7
"578",2020,84380,49.3,49.2
"579",2021,84380,61,65
"580",2022,84380,75.4,79.6
"581",2020,84391,52.5,55.9
"582",2021,84391,58.9,57.5
"583",2022,84391,59.9,58.8
"584",2020,84394,53.3,53.3
"585",2021,84394,59.5,61.4
"586",2022,84394,58.4,56.4
"587",2020,84397,64.7,63.2
"588",2021,84397,51.1,51.6
"589",2022,84397,75,76.2
"590",2021,84410,57.6,57.3
"591",2022,84410,60.7,60.2
"592",2020,84427,61.8,63.3
"593",2021,84427,63.1,62.2
"594",2020,84441,68,68.7
"595",2021,84441,67.5,67.7
"596",2022,84441,72.4,72.1
"597",2020,84443,69.4,69.5
"598",2021,84443,78.1,77.9
"599",2022,84443,73.8,75.4
"600",2020,84465,55.4,53.6
"601",2021,84465,54.1,52.8
"602",2022,84465,64.2,67.3
"603",2020,84468,46.7,48.6
"604",2022,84468,68,67.5
"605",2020,84481,64.8,64.3
"606",2022,84481,61.9,64.6
"607",2020,84497,74.6,76
"608",2021,84497,58,58
"609",2022,84497,58.9,58.6
"610",2020,84499,71.3,68.8
"611",2021,84499,63.1,62.1
"612",2022,84499,59.4,58.2
"613",2020,84502,55.4,56.3
"614",2021,84502,64.2,64.3
"615",2022,84502,61.6,61.5
"616",2020,84520,49.6,50.8
"617",2021,84520,59.5,58.6
"618",2022,84520,58.1,57.5
"619",2020,84529,53.7,52.9
"620",2021,84529,71.5,71.8
"621",2022,84529,50.5,49.2
"622",2020,86854,66,78.3
"623",2021,86854,87.7,75.3
"624",2022,86854,72.4,76.6
"625",2020,86859,59.5,57.2
"626",2021,86859,54.6,55.1
"627",2022,86859,56,56
"628",2022,87522,62.2,61.8
"629",2020,87529,67.3,65.1
"630",2021,87529,52.5,50.8
"631",2022,87529,55.4,56.8
"632",2020,87665,65.3,64
"633",2021,87665,78.7,77.9
"634",2022,87665,78.5,77.1
"635",2020,87699,52.3,53.5
"636",2021,87699,74.3,76.2
"637",2021,88315,64.5,64.3
"638",2022,88315,80.5,81.9
"639",2020,88318,67.3,67
"640",2021,88318,72.3,72.5
"641",2022,88318,65.7,67
"642",2021,88707,80.6,81.2
"643",2022,88707,54.9,55.4
"644",2020,88723,65,64.6
"645",2021,88723,57.8,55.1
"646",2020,88745,53.6,53.4
"647",2021,88745,72,75.9
"648",2022,88745,74.6,76.3
"649",2020,89497,75,75.5
"650",2021,89497,64.8,64.9
"651",2022,89497,61.6,66.8
"652",2020,89507,57.6,56.9
"653",2021,89507,79.6,79.2
"654",2022,89507,85.3,86.4
"655",2020,89525,46.5,47.1
"656",2021,89525,66.5,69.5
"657",2022,89525,60.5,60.4
"658",2020,89528,71.3,72.4
"659",2021,89528,60.1,61.9
"660",2022,89528,67.5,67.9
"661",2020,91115,70.8,71
"662",2021,91115,64.8,65.9
"663",2022,91115,75.6,77.1
"664",2021,91441,69.2,59.3
"665",2022,91441,51,50
"666",2020,91447,63.7,63.3
"667",2021,91447,71.6,73.2
"668",2022,91447,58.9,57.5
"669",2021,91814,61.8,62.4
"670",2021,91818,56.5,55.4
"671",2022,91818,42.9,47.6
"672",2020,91826,75.9,72.7
"673",2021,91826,59.6,56.9
"674",2020,97095,68.9,67.5
"675",2021,97095,53.2,55.1
"676",2020,97111,54.4,53.2
"677",2021,97111,66.3,65.7
"678",2022,97111,59.3,60.8
"679",2020,97164,60.3,59.7
"680",2021,97164,61.1,61
"681",2022,97164,55.6,54.9
"682",2021,97169,55.8,55.9
"683",2022,97169,52.3,46.7
"684",2020,97181,63.5,63.3
"685",2021,97181,52.4,53
"686",2022,97181,63.4,62
"687",2020,97215,63.2,62.7
"688",2021,97215,71.9,74
"689",2022,97215,52,53.5
"690",2020,97270,68,68.1
"691",2021,97270,55.3,55.8
"692",2022,97270,68.4,70.8
"693",2020,97287,83.8,87
"694",2021,97287,63.9,64.7
"695",2022,97287,57,57
